Name,Lat,Lng,Country
Kuala Lumpur,3.1319,101.6841,Malaysia
Malacca,2.1896,102.2501,Malaysia
Singapore,1.3521,103.8198,Singapore
Cameron Highlands,4.4679,101.3848,Malaysia
Penang,5.4141,100.3285,Malaysia
Langkawi,6.2934,99.7247,Malaysia
Ko Lipe,6.4886,99.3049,Thailand
Ko Lanta,7.6065,99.0353,Thailand
Phi Phi,7.7407,98.7784,Thailand
Phuket,7.8804,98.3923,Thailand
Khao Sok,8.9777,98.6382,Thailand
Surat Thani,9.1341,99.1431,Thailand
Bangkok,13.7563,100.5018,Thailand
Sukhothai,17.0076,99.8264,Thailand
Chiang Mai,18.7883,98.9853,Thailand
Pai,19.3581,98.4405,Thailand
Mae Hong Son,19.2990,97.9676,Thailand
Mae Cham,18.4993,98.3627,Thailand
Chiang Rai,19.9105,99.8406,Thailand
Huay Xia,20.2628,100.4340,Laos
Pak Beng,19.8990,101.1419,Laos
Luang Prabang,19.8833,102.1387,Laos
Vang Vieng,18.9213,102.4487,Laos
Vientiane,17.9757,102.6331,Laos
Nong Khai,17.8646,102.7310,Thailand
Siem Reap,13.3633,103.8564,Cambodia
Phnom Penh,11.5564,104.9282,Cambodia
Sihanoukville,10.6268,103.5116,Cambodia
Ko Rong,10.6658,103.2729,Cambodia
Jakarta,-6.1944,106.8229,Indonesia
Yogyakarta,-7.8014,110.3648,Indonesia
Malang,-7.9666,112.6326,Indonesia
Surabaya,-7.2575,112.7521,Indonesia
Guatemala City,14.6349,-90.5069,Guatemala
Quetzaltenango (Xela),14.8446,-91.5232,Guatemala
San Pedro La Laguna,14.6889,-91.2686,Guatemala
Antigua,14.5573,-90.7332,Guatemala
